WT_1,WT_2,RPP25L_1,RPP25L_2,gene_type,gene_name,RPP25L_mean
151956.53761816636,170716.17320114176,273280.4127995363,299780.33141354506,ribozyme,RPPH1,286530.3721065407
234266.3288280065,257205.90110134144,273686.4299167329,246866.6305272272,ribozyme,RMRP,260276.53022198004
230769.8164574392,253367.0070550528,269601.55782842345,243182.0539521939,lncRNA,RMRP,256391.8058903087
79312.73828659781,89104.20952347996,142636.95526997742,156468.41749327665,lncRNA,ENSG00000259001,149552.68638162705
159500.479202047,0.0,4276.24091480782,4692.572305086077,snRNA,RNU4-2,4484.406609946949
0.0,0.0,2392.658607094852,4594.81038206345,tRNA,tRNA35974,3493.734494579151
0.0,0.0,1050.4354860416422,5043.084565679396,snRNA,RNVU1-31,3046.7600258605194
0.0,0.0,1196.329303547426,2297.405191031725,tRNA,tRNA13029,1746.8672472895755
0.0,0.0,1179.9412308960914,2265.933887044989,tRNA,tRNA31864,1722.9375589705403
0.0,0.0,1794.493955321139,1378.443114619035,snRNA,RNU5E-1,1586.4685349700871
0.0,0.0,1050.4354860416422,2017.2338262717583,snRNA,RNVU1-28,1533.8346561567002
0.0,0.0,2301.3357594958115,631.3479914285656,lncRNA,ENSG00000270103,1466.3418754621885
0.0,0.0,1485.0984457830114,1425.9756358127947,snRNA,RNU5A-1,1455.537040797903
0.0,0.0,2249.81331711904,617.2133349040455,snRNA,RNU11,1433.5133260115429
0.0,0.0,0.0,2297.405191031725,tRNA,tRNA25584,1148.7025955158624
0.0,27226.28624328554,742.5492228915057,1425.9756358127947,snRNA,RNU5B-1,1084.2624293521503
0.0,0.0,0.0,2017.2338262717583,snRNA,RNU1-67P,1008.6169131358791
37482.61261248104,10527.497347403743,861.3570985541467,1102.754491695228,snRNA,RNU12,982.0557951246873
34282.87738946437,28886.42564836393,919.1310502864368,1008.6169131358791,snRNA,RN7SK,963.873981711158
33972.15644635743,28624.615143998093,910.8005573835388,999.4753701165208,misc_RNA,7SK,955.1379637500298
0.0,0.0,0.0,1438.375423950297,rRNA_pseudogene,RNA5SP226,719.1877119751485
