Geneid	02c_alignment_all_umitools/AG241010_Cyclon-CT_none_120mJ_2_all_dedup.bam	02c_alignment_all_umitools/AG241010_Cyclon-NT_none_120mJ_1_all_dedup.bam	02c_alignment_all_umitools/AG241010_Cyclon-NT_none_120mJ_2_all_dedup.bam	02c_alignment_all_umitools/AG241010_Cyclon_none_120mJ_2_all_dedup.bam	02c_alignment_all_umitools/AG241010_Cyclon_none_120mJ_1_all_dedup.bam	02c_alignment_all_umitools/AG241010_none_none_120mJ_2_all_dedup.bam	02c_alignment_all_umitools/AG241010_Cyclon-CT_none_120mJ_1_all_dedup.bam	02c_alignment_all_umitools/AG241010_none_none_120mJ_1_all_dedup.bam
ENSG00000223972.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227232.5	0.0	0.0	0.0	0.0	4.231413599710223	0.0	0.0	0.0
ENSG00000278267.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000243485.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284332.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237613.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268020.3	5.06639166109142	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000240361.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000186092.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000238009.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000239945.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233750.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268903.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000269981.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000239906.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241860.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000222623.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241599.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279928.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279457.4	0.0	0.0	0.0	0.0	4.092082872733365	0.0	0.0	0.0
ENSG00000273874.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228463.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000286448.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236679.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236601.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
